,UserGenere,UserAge,UserExperience,TimeStamp,PlayerSpeed,PlayerAcceleration,CameraRotationZ,GameFps,DiscomfortLevel,UserGenere_contri,UserAge_contri,UserExperience_contri,TimeStamp_contri,PlayerSpeed_contri,PlayerAcceleration_contri,CameraRotationZ_contri,GameFps_contri,importanceProfile,importanceGame
4017,1,0,0,153.0103,101,14,0.014052,90,1,1.056023755296034,-0.0,-0.0,128.9572253179031,-13.03513912204546,0.2872936529420459,0.00015796524470560862,43.61458009655657,UserGenere,PlayerSpeed
4018,0,0,0,254.9945,2,-1,0.057921,90,1,0.0,-0.0,-0.0,214.90960537510244,-0.25812156677317744,-0.020520975210146133,0.0006511176301304837,43.61458009655657,UserGenere,PlayerSpeed
4019,1,0,0,95.00689,134,12,-0.147767,88,1,1.056023755296034,-0.0,-0.0,80.07189660096891,-17.294144973802887,0.2462517025217536,-0.0016611194359816162,42.645367205521985,UserGenere,PlayerSpeed
4020,1,0,0,86.99155999999999,32,16,0.035827,90,1,1.056023755296034,-0.0,-0.0,73.31656890860212,-4.129945068370839,0.32833560336233814,0.000402748421724156,43.61458009655657,UserGenere,PlayerSpeed
4021,1,1,0,256.0077,88,11,0.058935,88,1,1.056023755296034,-0.008813932870834772,-0.0,215.76353129180282,-11.357348938019808,0.22573072731160748,0.0006625164885229892,42.645367205521985,UserGenere,PlayerSpeed
4022,0,0,0,126.9981,10,6,-0.018969,90,1,0.0,-0.0,-0.0,107.03411859623559,-1.290607833865887,0.1231258512608768,-0.00021323959057932608,43.61458009655657,UserGenere,PlayerSpeed
4023,1,1,0,129.9991,37,-23,0.009737,90,1,1.056023755296034,-0.008813932870834772,-0.0,109.56336422988919,-4.775248985303783,-0.4719824298333611,0.00010945826841008478,43.61458009655657,UserGenere,PlayerSpeed
4024,0,0,0,295.0106,92,9,0.09162000000000001,90,1,0.0,-0.0,-0.0,248.6352122397628,-11.873592071566161,0.1846887768913152,0.0010299441872991648,43.61458009655657,UserGenere,PlayerSpeed
4025,0,0,0,269.0094,56,-4,-0.012059,90,1,0.0,-0.0,-0.0,226.72137632848194,-7.227403869648969,-0.08208390084058453,-0.00013556097964026006,43.61458009655657,UserGenere,PlayerSpeed
4026,1,2,0,155.0118,125,12,-0.140328,90,1,1.056023755296034,-0.017627865741669545,-0.0,130.64409140779233,-16.13259792332359,0.2462517025217536,-0.0015774940833367954,43.61458009655657,UserGenere,PlayerSpeed
4027,0,0,0,290.0102,86,-18,0.034297,90,1,0.0,-0.0,-0.0,244.42087039820285,-11.099227371246629,-0.3693775537826304,0.000385548960836056,43.61458009655657,UserGenere,PlayerSpeed
4028,0,0,0,180.0115,4,-12,-0.010278,90,1,0.0,-0.0,-0.0,151.71386217342044,-0.5162431335463549,-0.2462517025217536,-0.0001155399078482953,43.61458009655657,UserGenere,PlayerSpeed
4029,1,1,0,253.0062,50,15,0.075853,90,1,1.056023755296034,-0.008813932870834772,-0.0,213.2338642576771,-6.453039169329436,0.307814628152192,0.0008526998083300976,43.61458009655657,UserGenere,PlayerSpeed
4030,0,0,0,266.9977,15,2,0.04774,90,1,0.0,-0.0,-0.0,225.02591366896146,-1.9359117507988308,0.04104195042029227,0.0005366681456195386,43.61458009655657,UserGenere,PlayerSpeed
4031,1,1,0,71.007,67,6,-0.041402999999999995,90,1,1.056023755296034,-0.008813932870834772,-0.0,59.84476664739789,-8.647072486901443,0.1231258512608768,-0.0004654309014052315,43.61458009655657,UserGenere,PlayerSpeed
4032,1,0,0,111.0089,73,-25,-0.010469,88,1,1.056023755296034,-0.0,-0.0,93.55840573865008,-9.421437187220976,-0.5130243802536534,-0.00011768703008988162,42.645367205521985,UserGenere,PlayerSpeed
4033,1,0,0,210.005,70,14,0.025067,90,1,1.056023755296034,-0.0,-0.0,176.9924122943765,-9.03425483706121,0.2872936529420459,0.000281790121622224,43.61458009655657,UserGenere,PlayerSpeed
4034,1,0,0,180.013,34,-48,0.050315,90,1,1.056023755296034,-0.0,-0.0,151.71512637483679,-4.388066635144017,-0.9850068100870144,0.0005656149507089879,43.61458009655657,UserGenere,PlayerSpeed
4035,1,1,0,210.0043,60,-6,-0.07485599999999999,90,1,1.056023755296034,-0.008813932870834772,-0.0,176.99182233371553,-7.743647003195323,-0.1231258512608768,-0.0008414920550585709,43.61458009655657,UserGenere,PlayerSpeed
4036,0,0,0,233.9941,0,0,0.016574000000000002,90,1,0.0,-0.0,-0.0,197.2104484257592,-0.0,0.0,0.00018631625147671205,43.61458009655657,UserGenere,PlayerSpeed
4037,1,2,0,123.0116,6,4,0.050699,90,1,1.056023755296034,-0.017627865741669545,-0.0,103.67429263203698,-0.7743647003195323,0.08208390084058453,0.0005699316781475699,43.61458009655657,UserGenere,PlayerSpeed
4038,1,1,0,67.00733000000001,25,14,-0.00823,90,1,1.056023755296034,-0.008813932870834772,-0.0,56.47384099476368,-3.226519584664718,0.2872936529420459,-9.25173615091915e-05,43.61458009655657,UserGenere,PlayerSpeed
4039,1,0,0,297.019,145,0,-0.03311,90,1,1.056023755296034,-0.0,-0.0,250.3278936561673,-18.713813591055363,0.0,-0.0003722053268006477,43.61458009655657,UserGenere,PlayerSpeed
4040,1,1,0,139.9986,15,1,0.0017120000000000002,90,1,1.056023755296034,-0.008813932870834772,-0.0,117.99095227178162,-1.9359117507988308,0.020520975210146133,1.9245409830344577e-05,43.61458009655657,UserGenere,PlayerSpeed
4041,1,0,0,229.0037,145,0,0.132427,90,1,1.056023755296034,-0.0,-0.0,193.00453459364164,-18.713813591055363,0.0,0.0014886751679924304,43.61458009655657,UserGenere,PlayerSpeed
4042,0,0,0,159.0117,46,14,0.064266,90,1,0.0,-0.0,-0.0,134.01521090464374,-5.936796035783081,0.2872936529420459,0.0007224448061664279,43.61458009655657,UserGenere,PlayerSpeed
4043,1,0,0,101.994,0,-15,-0.046294999999999996,90,1,1.056023755296034,-0.0,-0.0,85.96063950645288,-0.0,-0.307814628152192,-0.000520424210336333,43.61458009655657,UserGenere,PlayerAcceleration
4044,0,0,0,195.9927,5,4,-0.016773,90,1,0.0,-0.0,-0.0,165.18283262345204,-0.6453039169329435,0.08208390084058453,-0.0001885533055399355,43.61458009655657,UserGenere,PlayerSpeed
